      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,           ,           ,           ,           , 
 1.000E+01,  5.000E+00, -4.995E-05,  5.545E-10,  3.330E-05,  1.663E-11,  9.990E-07,  1.109E-11,  6.660E-07,  3.327E-11, -4.995E-06,  1.000E+02, -1.998E-03,  2.218E-11,  4.930E-32,  3.333E+01, -5.005E+06,  4.436E-11,  6.660E-06,  6.667E-01,  0.000E+00, 
 2.041E+05,  4.689E+00, -9.139E-01,  2.070E-01,  6.093E-01,  6.211E-03,  1.828E-02,  4.141E-03,  1.219E-02,  1.242E-02, -9.139E-02,  8.185E+01, -2.968E+01,  8.282E-03,  4.337E-19,  3.333E+01, -2.452E+02,  1.814E-02,  1.335E-01,  6.667E-01,  0.000E+00, 
 4.082E+05,  4.052E+00, -1.395E+00,  6.319E-01,  9.298E-01,  1.896E-02,  2.789E-02,  1.264E-02,  1.860E-02,  3.791E-02, -1.395E-01,  6.004E+01, -3.267E+01,  2.528E-02, -1.735E-18,  3.333E+01, -1.226E+02,  6.882E-02,  2.531E-01,  6.667E-01,  0.000E+00, 
 6.123E+05,  3.471E+00, -1.500E+00,  1.019E+00,  9.998E-01,  3.058E-02,  2.999E-02,  2.038E-02,  2.000E-02,  6.115E-02, -1.500E-01,  4.860E+01, -2.801E+01,  4.077E-02,  0.000E+00,  3.333E+01, -8.174E+01,  1.426E-01,  3.496E-01,  6.667E-01,  0.000E+00, 
 8.163E+05,  3.054E+00, -1.432E+00,  1.298E+00,  9.547E-01,  3.893E-02,  2.864E-02,  2.595E-02,  1.909E-02,  7.786E-02, -1.432E-01,  4.288E+01, -2.335E+01,  5.191E-02,  0.000E+00,  3.333E+01, -6.131E+01,  2.282E-01,  4.196E-01,  6.667E-01,  0.000E+00, 
 1.020E+06,  2.772E+00, -1.311E+00,  1.485E+00,  8.743E-01,  4.456E-02,  2.623E-02,  2.971E-02,  1.749E-02,  8.913E-02, -1.311E-01,  3.977E+01, -1.969E+01,  5.942E-02,  0.000E+00,  3.333E+01, -4.905E+01,  3.159E-01,  4.649E-01,  6.667E-01,  0.000E+00, 
 1.224E+06,  2.582E+00, -1.186E+00,  1.612E+00,  7.907E-01,  4.837E-02,  2.372E-02,  3.224E-02,  1.581E-02,  9.673E-02, -1.186E-01,  3.794E+01, -1.691E+01,  6.449E-02,  0.000E+00,  3.333E+01, -4.087E+01,  3.994E-01,  4.898E-01,  6.667E-01,  0.000E+00, 
 1.429E+06,  2.451E+00, -1.072E+00,  1.700E+00,  7.145E-01,  5.099E-02,  2.144E-02,  3.399E-02,  1.429E-02,  1.020E-01, -1.072E-01,  3.678E+01, -1.477E+01,  6.798E-02, -3.469E-18,  3.333E+01, -3.503E+01,  4.751E-01,  4.994E-01,  6.667E-01,  0.000E+00, 
 1.633E+06,  2.358E+00, -9.720E-01,  1.762E+00,  6.480E-01,  5.285E-02,  1.944E-02,  3.523E-02,  1.296E-02,  1.057E-01, -9.720E-02,  3.601E+01, -1.308E+01,  7.046E-02,  0.000E+00,  3.333E+01, -3.065E+01,  5.418E-01,  4.983E-01,  6.667E-01,  0.000E+00, 
