      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,           ,           ,           ,           , 
 1.000E+01,  3.750E+00, -3.122E-06,  1.250E+00, -9.366E-06,  2.500E-02,  6.244E-08,  2.500E-02, -1.873E-07,  9.375E-02, -3.122E-07,  1.500E+02, -4.496E-03,  3.125E-02,  0.000E+00,  1.500E+02, -4.995E-04,  3.333E-01, -2.220E-06,  1.000E+00, -9.990E-06, 
 2.041E+05,  3.740E+00, -6.226E-02,  1.221E+00, -1.868E-01,  2.519E-02,  1.245E-03,  2.443E-02, -3.736E-03,  9.415E-02, -6.226E-03,  1.092E+02, -6.677E+01,  3.054E-02,  0.000E+00,  1.480E+02, -9.788E+00,  3.273E-01, -4.449E-02,  9.601E-01, -1.958E-01, 
 4.082E+05,  3.714E+00, -1.165E-01,  1.143E+00, -3.496E-01,  2.571E-02,  2.331E-03,  2.286E-02, -6.992E-03,  9.523E-02, -1.165E-02,  6.008E+01, -7.350E+01,  2.858E-02,  0.000E+00,  1.429E+02, -1.748E+01,  3.104E-01, -8.438E-02,  8.574E-01, -3.496E-01, 
 6.123E+05,  3.678E+00, -1.579E-01,  1.033E+00, -4.737E-01,  2.645E-02,  3.158E-03,  2.065E-02, -9.475E-03,  9.677E-02, -1.579E-02,  3.435E+01, -6.303E+01,  2.582E-02,  1.735E-18,  1.364E+02, -2.226E+01,  2.858E-01, -1.165E-01,  7.277E-01, -4.451E-01, 
 8.163E+05,  3.637E+00, -1.855E-01,  9.097E-01, -5.564E-01,  2.727E-02,  3.709E-03,  1.819E-02, -1.113E-02,  9.848E-02, -1.855E-02,  2.147E+01, -5.253E+01,  2.274E-02,  1.735E-18,  1.300E+02, -2.449E+01,  2.573E-01, -1.399E-01,  6.006E-01, -4.898E-01, 
 1.020E+06,  3.596E+00, -2.010E-01,  7.889E-01, -6.031E-01,  2.807E-02,  4.021E-03,  1.578E-02, -1.206E-02,  1.002E-01, -2.010E-02,  1.449E+01, -4.431E+01,  1.972E-02,  1.735E-18,  1.245E+02, -2.500E+01,  2.280E-01, -1.550E-01,  4.904E-01, -4.999E-01, 
 1.224E+06,  3.560E+00, -2.076E-01,  6.787E-01, -6.227E-01,  2.881E-02,  4.151E-03,  1.357E-02, -1.245E-02,  1.017E-01, -2.076E-02,  1.037E+01, -3.805E+01,  1.697E-02,  0.000E+00,  1.200E+02, -2.450E+01,  2.002E-01, -1.633E-01,  4.006E-01, -4.900E-01, 
 1.429E+06,  3.528E+00, -2.079E-01,  5.825E-01, -6.236E-01,  2.945E-02,  4.157E-03,  1.165E-02, -1.247E-02,  1.030E-01, -2.079E-02,  7.759E+00, -3.322E+01,  1.456E-02,  0.000E+00,  1.165E+02, -2.350E+01,  1.750E-01, -1.665E-01,  3.293E-01, -4.700E-01, 
 1.633E+06,  3.500E+00, -2.042E-01,  5.007E-01, -6.125E-01,  3.000E-02,  4.083E-03,  1.001E-02, -1.225E-02,  1.042E-01, -2.042E-02,  6.014E+00, -2.943E+01,  1.252E-02,  0.000E+00,  1.137E+02, -2.228E+01,  1.527E-01, -1.661E-01,  2.732E-01, -4.456E-01, 
