      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,           ,           ,           ,           , 
 1.000E+01,  1.951E-05,  3.977E-03,  1.951E-05,  3.977E-03,  1.000E-01, -7.954E-05,  3.902E-07,  7.954E-05,  1.635E-06,  3.977E-04,  3.164E-07,  0.000E+00,  1.635E-04,  3.977E-02,  1.635E-04,  3.977E-02,  1.000E+00,  0.000E+00,  3.269E-06,  7.954E-04, 
 2.041E+05,  3.935E-01, -4.052E-01,  3.935E-01, -4.052E-01,  9.213E-02,  8.105E-03,  7.870E-03, -8.105E-03,  3.297E-02, -4.052E-02,  6.381E-03, -4.337E-19,  3.855E+00, -4.738E+00,  3.855E+00, -4.738E+00,  1.000E+00,  0.000E+00,  7.709E-02, -9.475E-02, 
 4.082E+05,  1.529E-01, -3.172E-01,  1.529E-01, -3.172E-01,  9.694E-02,  6.343E-03,  3.058E-03, -6.343E-03,  1.281E-02, -3.172E-02,  2.479E-03,  0.000E+00,  1.357E+00, -3.360E+00,  1.357E+00, -3.360E+00,  1.000E+00,  0.000E+00,  2.714E-02, -6.721E-02, 
 6.123E+05,  7.572E-02, -2.359E-01,  7.572E-02, -2.359E-01,  9.849E-02,  4.719E-03,  1.514E-03, -4.719E-03,  6.344E-03, -2.359E-02,  1.228E-03, -5.421E-20,  6.526E-01, -2.427E+00,  6.526E-01, -2.427E+00,  1.000E+00,  0.000E+00,  1.305E-02, -4.854E-02, 
 8.163E+05,  4.437E-02, -1.844E-01,  4.437E-02, -1.844E-01,  9.911E-02,  3.688E-03,  8.874E-04, -3.688E-03,  3.717E-03, -1.844E-02,  7.195E-04,  0.000E+00,  3.779E-01, -1.875E+00,  3.779E-01, -1.875E+00,  1.000E+00,  0.000E+00,  7.558E-03, -3.749E-02, 
 1.020E+06,  2.895E-02, -1.505E-01,  2.895E-02, -1.505E-01,  9.942E-02,  3.009E-03,  5.791E-04, -3.009E-03,  2.426E-03, -1.505E-02,  4.695E-04,  0.000E+00,  2.452E-01, -1.521E+00,  2.452E-01, -1.521E+00,  1.000E+00,  0.000E+00,  4.904E-03, -3.042E-02, 
 1.224E+06,  2.032E-02, -1.268E-01,  2.032E-02, -1.268E-01,  9.959E-02,  2.535E-03,  4.065E-04, -2.535E-03,  1.703E-03, -1.268E-02,  3.296E-04,  0.000E+00,  1.716E-01, -1.277E+00,  1.716E-01, -1.277E+00,  1.000E+00,  0.000E+00,  3.431E-03, -2.554E-02, 
 1.429E+06,  1.503E-02, -1.094E-01,  1.503E-02, -1.094E-01,  9.970E-02,  2.187E-03,  3.006E-04, -2.187E-03,  1.259E-03, -1.094E-02,  2.437E-04,  0.000E+00,  1.266E-01, -1.100E+00,  1.266E-01, -1.100E+00,  1.000E+00,  0.000E+00,  2.533E-03, -2.199E-02, 
 1.633E+06,  1.156E-02, -9.611E-02,  1.156E-02, -9.611E-02,  9.977E-02,  1.922E-03,  2.311E-04, -1.922E-03,  9.682E-04, -9.611E-03,  1.874E-04,  0.000E+00,  9.724E-02, -9.652E-01,  9.724E-02, -9.652E-01,  1.000E+00,  0.000E+00,  1.945E-03, -1.930E-02, 
 1.837E+06,  9.158E-03, -8.568E-02,  9.158E-03, -8.568E-02,  9.982E-02,  1.714E-03,  1.832E-04, -1.714E-03,  7.673E-04, -8.568E-03,  1.485E-04,  0.000E+00,  7.699E-02, -8.597E-01,  7.699E-02, -8.597E-01,  1.000E+00,  0.000E+00,  1.540E-03, -1.719E-02, 
 2.041E+06,  7.433E-03, -7.728E-02,  7.433E-03, -7.728E-02,  9.985E-02,  1.546E-03,  1.487E-04, -1.546E-03,  6.228E-04, -7.728E-03,  1.205E-04,  0.000E+00,  6.245E-02, -7.749E-01,  6.245E-02, -7.749E-01,  1.000E+00,  0.000E+00,  1.249E-03, -1.550E-02, 
 2.245E+06,  6.153E-03, -7.036E-02,  6.153E-03, -7.036E-02,  9.988E-02,  1.407E-03,  1.231E-04, -1.407E-03,  5.155E-04, -7.036E-03,  9.978E-05,  0.000E+00,  5.167E-02, -7.052E-01,  5.167E-02, -7.052E-01,  1.000E+00,  0.000E+00,  1.033E-03, -1.410E-02, 
 2.449E+06,  5.176E-03, -6.458E-02,  5.176E-03, -6.458E-02,  9.990E-02,  1.292E-03,  1.035E-04, -1.292E-03,  4.337E-04, -6.458E-03,  8.394E-05,  0.000E+00,  4.345E-02, -6.470E-01,  4.345E-02, -6.470E-01,  1.000E+00,  0.000E+00,  8.690E-04, -1.294E-02, 
 2.653E+06,  4.415E-03, -5.967E-02,  4.415E-03, -5.967E-02,  9.991E-02,  1.193E-03,  8.829E-05, -1.193E-03,  3.699E-04, -5.967E-03,  7.159E-05,  0.000E+00,  3.705E-02, -5.976E-01,  3.705E-02, -5.976E-01,  1.000E+00,  0.000E+00,  7.410E-04, -1.195E-02, 
 2.857E+06,  3.809E-03, -5.545E-02,  3.809E-03, -5.545E-02,  9.992E-02,  1.109E-03,  7.619E-05, -1.109E-03,  3.192E-04, -5.545E-03,  6.177E-05, -8.470E-22,  3.196E-02, -5.552E-01,  3.196E-02, -5.552E-01,  1.000E+00,  0.000E+00,  6.392E-04, -1.110E-02, 
 3.061E+06,  3.320E-03, -5.178E-02,  3.320E-03, -5.178E-02,  9.993E-02,  1.036E-03,  6.641E-05, -1.036E-03,  2.782E-04, -5.178E-03,  5.384E-05, -4.235E-22,  2.785E-02, -5.184E-01,  2.785E-02, -5.184E-01,  1.000E+00,  0.000E+00,  5.571E-04, -1.037E-02, 
 3.265E+06,  2.920E-03, -4.857E-02,  2.920E-03, -4.857E-02,  9.994E-02,  9.713E-04,  5.839E-05, -9.713E-04,  2.446E-04, -4.857E-03,  4.735E-05,  4.235E-22,  2.449E-02, -4.862E-01,  2.449E-02, -4.862E-01,  1.000E+00,  0.000E+00,  4.898E-04, -9.724E-03, 
 3.469E+06,  2.587E-03, -4.573E-02,  2.587E-03, -4.573E-02,  9.995E-02,  9.146E-04,  5.175E-05, -9.146E-04,  2.168E-04, -4.573E-03,  4.196E-05,  0.000E+00,  2.170E-02, -4.577E-01,  2.170E-02, -4.577E-01,  1.000E+00,  0.000E+00,  4.340E-04, -9.155E-03, 
 3.673E+06,  2.309E-03, -4.320E-02,  2.309E-03, -4.320E-02,  9.995E-02,  8.641E-04,  4.617E-05, -8.641E-04,  1.934E-04, -4.320E-03,  3.744E-05,  0.000E+00,  1.936E-02, -4.324E-01,  1.936E-02, -4.324E-01,  1.000E+00,  0.000E+00,  3.872E-04, -8.648E-03, 
 3.878E+06,  2.073E-03, -4.094E-02,  2.073E-03, -4.094E-02,  9.996E-02,  8.188E-04,  4.145E-05, -8.188E-04,  1.737E-04, -4.094E-03,  3.361E-05,  0.000E+00,  1.738E-02, -4.097E-01,  1.738E-02, -4.097E-01,  1.000E+00,  0.000E+00,  3.476E-04, -8.195E-03, 
 4.082E+06,  1.871E-03, -3.890E-02,  1.871E-03, -3.890E-02,  9.996E-02,  7.781E-04,  3.742E-05, -7.781E-04,  1.568E-04, -3.890E-03,  3.034E-05,  0.000E+00,  1.569E-02, -3.893E-01,  1.569E-02, -3.893E-01,  1.000E+00,  0.000E+00,  3.137E-04, -7.786E-03, 
