      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,           ,           ,           ,           , 
 1.000E+01,  5.000E+00, -1.571E-03,  1.105E-06,  1.571E-03,  2.211E-08,  3.142E-05,  2.211E-08,  3.142E-05,  6.119E-08, -1.571E-04,  4.935E-08,  6.462E-27,  6.200E+01, -1.592E+05,  6.200E+01, -1.592E+05,  1.224E-07,  3.142E-04,  1.000E+00,  0.000E+00, 
 2.041E+05,  4.958E+00,  3.051E-01,  4.250E-02, -3.051E-01,  8.500E-04, -6.101E-03,  8.500E-04, -6.101E-03,  2.353E-03,  3.051E-02,  1.897E-03,  0.000E+00,  6.200E+01,  8.039E+02,  6.200E+01,  8.039E+02,  4.768E-03, -6.183E-02,  1.000E+00,  0.000E+00, 
 4.082E+05,  4.989E+00,  1.536E-01,  1.062E-02, -1.536E-01,  2.125E-04, -3.073E-03,  2.125E-04, -3.073E-03,  5.882E-04,  1.536E-02,  4.743E-04,  0.000E+00,  6.200E+01,  1.620E+03,  6.200E+01,  1.620E+03,  1.180E-03, -3.083E-02,  1.000E+00,  0.000E+00, 
 6.123E+05,  4.995E+00,  1.026E-01,  4.722E-03, -1.026E-01,  9.444E-05, -2.051E-03,  9.444E-05, -2.051E-03,  2.614E-04,  1.026E-02,  2.108E-04, -1.694E-21,  6.200E+01,  2.432E+03,  6.200E+01,  2.432E+03,  5.236E-04, -2.054E-02,  1.000E+00,  0.000E+00, 
 8.163E+05,  4.997E+00,  7.695E-02,  2.656E-03, -7.695E-02,  5.312E-05, -1.539E-03,  5.312E-05, -1.539E-03,  1.470E-04,  7.695E-03,  1.186E-04,  0.000E+00,  6.200E+01,  3.245E+03,  6.200E+01,  3.245E+03,  2.943E-04, -1.540E-02,  1.000E+00,  0.000E+00, 
 1.020E+06,  4.998E+00,  6.158E-02,  1.700E-03, -6.158E-02,  3.400E-05, -1.232E-03,  3.400E-05, -1.232E-03,  9.410E-05,  6.158E-03,  7.589E-05,  0.000E+00,  6.200E+01,  4.057E+03,  6.200E+01,  4.057E+03,  1.883E-04, -1.232E-02,  1.000E+00,  0.000E+00, 
 1.224E+06,  4.999E+00,  5.132E-02,  1.181E-03, -5.132E-02,  2.361E-05, -1.026E-03,  2.361E-05, -1.026E-03,  6.535E-05,  5.132E-03,  5.270E-05,  0.000E+00,  6.200E+01,  4.869E+03,  6.200E+01,  4.869E+03,  1.307E-04, -1.027E-02,  1.000E+00,  0.000E+00, 
 1.429E+06,  4.999E+00,  4.399E-02,  8.673E-04, -4.399E-02,  1.735E-05, -8.798E-04,  1.735E-05, -8.798E-04,  4.801E-05,  4.399E-03,  3.872E-05,  0.000E+00,  6.200E+01,  5.681E+03,  6.200E+01,  5.681E+03,  9.605E-05, -8.801E-03,  1.000E+00,  0.000E+00, 
 1.633E+06,  4.999E+00,  3.849E-02,  6.640E-04, -3.849E-02,  1.328E-05, -7.699E-04,  1.328E-05, -7.699E-04,  3.676E-05,  3.849E-03,  2.965E-05,  0.000E+00,  6.200E+01,  6.493E+03,  6.200E+01,  6.493E+03,  7.353E-05, -7.700E-03,  1.000E+00,  0.000E+00, 
 1.837E+06,  4.999E+00,  3.422E-02,  5.247E-04, -3.422E-02,  1.049E-05, -6.844E-04,  1.049E-05, -6.844E-04,  2.904E-05,  3.422E-03,  2.342E-05,  0.000E+00,  6.200E+01,  7.304E+03,  6.200E+01,  7.304E+03,  5.810E-05, -6.845E-03,  1.000E+00,  0.000E+00, 
 2.041E+06,  5.000E+00,  3.080E-02,  4.250E-04, -3.080E-02,  8.500E-06, -6.159E-04,  8.500E-06, -6.159E-04,  2.353E-05,  3.080E-03,  1.897E-05, -5.294E-23,  6.200E+01,  8.116E+03,  6.200E+01,  8.116E+03,  4.706E-05, -6.160E-03,  1.000E+00,  0.000E+00, 
 2.245E+06,  5.000E+00,  2.800E-02,  3.512E-04, -2.800E-02,  7.025E-06, -5.600E-04,  7.025E-06, -5.600E-04,  1.944E-05,  2.800E-03,  1.568E-05,  2.647E-23,  6.200E+01,  8.928E+03,  6.200E+01,  8.928E+03,  3.889E-05, -5.600E-03,  1.000E+00,  0.000E+00, 
 2.449E+06,  5.000E+00,  2.567E-02,  2.951E-04, -2.567E-02,  5.903E-06, -5.133E-04,  5.903E-06, -5.133E-04,  1.634E-05,  2.567E-03,  1.318E-05,  2.647E-23,  6.200E+01,  9.740E+03,  6.200E+01,  9.740E+03,  3.268E-05, -5.133E-03,  1.000E+00,  0.000E+00, 
 2.653E+06,  5.000E+00,  2.369E-02,  2.515E-04, -2.369E-02,  5.029E-06, -4.738E-04,  5.029E-06, -4.738E-04,  1.392E-05,  2.369E-03,  1.123E-05,  0.000E+00,  6.200E+01,  1.055E+04,  6.200E+01,  1.055E+04,  2.784E-05, -4.739E-03,  1.000E+00,  0.000E+00, 
 2.857E+06,  5.000E+00,  2.200E-02,  2.168E-04, -2.200E-02,  4.337E-06, -4.400E-04,  4.337E-06, -4.400E-04,  1.200E-05,  2.200E-03,  9.680E-06,  0.000E+00,  6.200E+01,  1.136E+04,  6.200E+01,  1.136E+04,  2.401E-05, -4.400E-03,  1.000E+00,  0.000E+00, 
 3.061E+06,  5.000E+00,  2.053E-02,  1.889E-04, -2.053E-02,  3.778E-06, -4.107E-04,  3.778E-06, -4.107E-04,  1.046E-05,  2.053E-03,  8.432E-06,  0.000E+00,  6.200E+01,  1.217E+04,  6.200E+01,  1.217E+04,  2.091E-05, -4.107E-03,  1.000E+00,  0.000E+00, 
 3.265E+06,  5.000E+00,  1.925E-02,  1.660E-04, -1.925E-02,  3.320E-06, -3.850E-04,  3.320E-06, -3.850E-04,  9.190E-06,  1.925E-03,  7.411E-06,  0.000E+00,  6.200E+01,  1.299E+04,  6.200E+01,  1.299E+04,  1.838E-05, -3.850E-03,  1.000E+00,  0.000E+00, 
 3.469E+06,  5.000E+00,  1.812E-02,  1.471E-04, -1.812E-02,  2.941E-06, -3.623E-04,  2.941E-06, -3.623E-04,  8.141E-06,  1.812E-03,  6.565E-06,  0.000E+00,  6.200E+01,  1.380E+04,  6.200E+01,  1.380E+04,  1.628E-05, -3.624E-03,  1.000E+00,  0.000E+00, 
 3.673E+06,  5.000E+00,  1.711E-02,  1.312E-04, -1.711E-02,  2.623E-06, -3.422E-04,  2.623E-06, -3.422E-04,  7.261E-06,  1.711E-03,  5.856E-06,  0.000E+00,  6.200E+01,  1.461E+04,  6.200E+01,  1.461E+04,  1.452E-05, -3.422E-03,  1.000E+00,  0.000E+00, 
 3.878E+06,  5.000E+00,  1.621E-02,  1.177E-04, -1.621E-02,  2.355E-06, -3.242E-04,  2.355E-06, -3.242E-04,  6.517E-06,  1.621E-03,  5.256E-06,  0.000E+00,  6.200E+01,  1.542E+04,  6.200E+01,  1.542E+04,  1.303E-05, -3.242E-03,  1.000E+00,  0.000E+00, 
 4.082E+06,  5.000E+00,  1.540E-02,  1.062E-04, -1.540E-02,  2.125E-06, -3.080E-04,  2.125E-06, -3.080E-04,  5.882E-06,  1.540E-03,  4.743E-06, -6.617E-24,  6.200E+01,  1.623E+04,  6.200E+01,  1.623E+04,  1.176E-05, -3.080E-03,  1.000E+00,  0.000E+00, 
 4.286E+06,  5.000E+00,  1.467E-02,  9.637E-05, -1.467E-02,  1.927E-06, -2.933E-04,  1.927E-06, -2.933E-04,  5.335E-06,  1.467E-03,  4.302E-06,  0.000E+00,  6.200E+01,  1.705E+04,  6.200E+01,  1.705E+04,  1.067E-05, -2.933E-03,  1.000E+00,  0.000E+00, 
 4.490E+06,  5.000E+00,  1.400E-02,  8.781E-05, -1.400E-02,  1.756E-06, -2.800E-04,  1.756E-06, -2.800E-04,  4.861E-06,  1.400E-03,  3.920E-06, -3.309E-24,  6.200E+01,  1.786E+04,  6.200E+01,  1.786E+04,  9.722E-06, -2.800E-03,  1.000E+00,  0.000E+00, 
 4.694E+06,  5.000E+00,  1.339E-02,  8.034E-05, -1.339E-02,  1.607E-06, -2.678E-04,  1.607E-06, -2.678E-04,  4.447E-06,  1.339E-03,  3.587E-06,  0.000E+00,  6.200E+01,  1.867E+04,  6.200E+01,  1.867E+04,  8.895E-06, -2.678E-03,  1.000E+00,  0.000E+00, 
 4.898E+06,  5.000E+00,  1.283E-02,  7.378E-05, -1.283E-02,  1.476E-06, -2.567E-04,  1.476E-06, -2.567E-04,  4.084E-06,  1.283E-03,  3.294E-06,  0.000E+00,  6.200E+01,  1.948E+04,  6.200E+01,  1.948E+04,  8.169E-06, -2.567E-03,  1.000E+00,  0.000E+00, 
