      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout), 
        Hz,          V,          V,          V,          V,           ,           ,          A,          A,          A,          A,           ,           ,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W, 
 1.000E+01,  2.500E+00,  7.854E-08,  2.500E+00, -9.982E-05,  1.000E+00, -3.996E-05,  5.000E-02, -1.571E-09,  5.000E-02, -1.996E-06,  1.000E+00, -3.990E-05,  5.000E+01,  3.142E-06,  5.000E+01,  3.142E-06,  1.250E-01,  7.854E-09,  1.250E-01,  8.470E-22, 
 2.041E+05,  2.375E+00, -1.115E-01,  1.662E+00, -1.860E+00,  7.350E-01, -7.484E-01,  5.249E-02,  2.230E-03,  3.325E-02, -3.719E-02,  6.022E-01, -7.341E-01,  4.508E+01, -4.038E+00,  4.508E+01, -4.038E+00,  1.244E-01, -1.115E-02,  1.244E-01,  6.939E-18, 
 4.082E+05,  1.362E+00,  3.431E-01, -6.350E-01, -2.106E+00, -8.045E-01, -1.343E+00,  7.276E-02, -6.862E-03, -1.270E-02, -4.212E-02, -1.189E-01, -5.901E-01,  1.812E+01,  6.424E+00,  1.812E+01,  6.424E+00,  9.675E-02,  3.431E-02,  9.675E-02,  3.469E-18, 
 6.123E+05,  1.850E+00,  2.094E+00, -1.147E+00, -3.559E-01, -3.672E-01,  2.233E-01,  6.299E-02, -4.188E-02, -2.294E-02, -7.117E-03, -2.004E-01, -2.462E-01,  5.040E+00,  3.660E+01,  5.040E+00,  3.660E+01,  2.884E-02,  2.094E-01,  2.884E-02,  1.735E-18, 
 8.163E+05,  3.088E+00,  2.364E+00, -5.459E-01,  1.358E-01, -9.024E-02,  1.131E-01,  3.824E-02, -4.728E-02, -1.092E-02,  2.717E-03, -1.477E-01, -1.115E-01,  1.712E+00,  6.394E+01,  1.712E+00,  6.394E+01,  6.329E-03,  2.364E-01,  6.329E-03, -2.168E-19, 
 1.020E+06,  3.779E+00,  2.128E+00, -2.516E-01,  1.512E-01, -3.344E-02,  5.884E-02,  2.442E-02, -4.256E-02, -5.031E-03,  3.024E-03, -1.045E-01, -5.826E-02,  7.156E-01,  8.838E+01,  7.156E-01,  8.838E+01,  1.723E-03,  2.128E-01,  1.723E-03, -1.084E-19, 
 1.224E+06,  4.157E+00,  1.864E+00, -1.275E-01,  1.133E-01, -1.536E-02,  3.416E-02,  1.687E-02, -3.729E-02, -2.551E-03,  2.267E-03, -7.615E-02, -3.397E-02,  3.476E-01,  1.113E+02,  3.476E-01,  1.113E+02,  5.822E-04,  1.864E-01,  5.822E-04, -5.421E-20, 
 1.429E+06,  4.383E+00,  1.641E+00, -7.070E-02,  8.110E-02, -8.070E-03,  2.153E-02,  1.235E-02, -3.283E-02, -1.414E-03,  1.622E-03, -5.748E-02, -2.146E-02,  1.882E-01,  1.334E+02,  1.882E-01,  1.334E+02,  2.315E-04,  1.641E-01,  2.315E-04, -1.355E-20, 
 1.633E+06,  4.528E+00,  1.460E+00, -4.212E-02,  5.853E-02, -4.652E-03,  1.442E-02,  9.432E-03, -2.919E-02, -8.424E-04,  1.171E-03, -4.475E-02, -1.440E-02,  1.105E-01,  1.551E+02,  1.105E-01,  1.551E+02,  1.040E-04,  1.460E-01,  1.040E-04,  0.000E+00, 
