      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout), 
        Hz,          V,          V,          V,          V,           ,           ,          A,          A,          A,          A,           ,           ,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W, 
 1.000E+01,  2.500E+00, -3.907E-05,  2.500E+00, -8.777E-05,  1.000E+00, -1.948E-05,  5.000E-02,  7.815E-07,  5.000E-02, -1.755E-06,  1.000E+00, -5.074E-05,  5.000E+01, -1.563E-03,  5.000E+01, -1.563E-03,  1.250E-01, -3.907E-06,  1.250E-01,  8.470E-22, 
 2.041E+05,  1.771E+00, -2.914E-01,  1.790E+00, -1.559E+00,  1.125E+00, -6.954E-01,  6.458E-02,  5.827E-03,  3.579E-02, -3.118E-02,  5.065E-01, -5.285E-01,  2.679E+01, -6.929E+00,  3.606E+01, -2.440E+01,  1.127E-01, -2.914E-02,  1.127E-01,  6.939E-18, 
 4.082E+05,  1.454E+00,  1.072E+00,  2.834E-01, -1.982E+00, -5.245E-01, -9.759E-01,  7.091E-02, -2.144E-02,  5.667E-03, -3.963E-02,  2.281E-01, -4.900E-01,  1.461E+01,  1.953E+01,  1.669E+01, -2.752E+01,  8.015E-02,  1.072E-01,  8.015E-02,  0.000E+00, 
 6.123E+05,  3.116E+00,  1.934E+00, -7.265E-01, -1.266E+00, -3.503E-01, -1.889E-01,  3.767E-02, -3.867E-02, -1.453E-02, -2.532E-02,  1.482E-01, -5.201E-01,  1.462E+01,  6.634E+01,  6.209E+00, -2.197E+01,  4.262E-02,  1.934E-01,  4.262E-02,  0.000E+00, 
 8.163E+05,  4.638E+00,  8.801E-01, -8.276E-01, -4.663E-01, -1.906E-01, -6.437E-02,  7.230E-03, -1.760E-02, -1.655E-02, -9.327E-03,  1.229E-01, -9.908E-01,  4.984E+01,  2.431E+02,  2.159E+00, -1.643E+01,  1.805E-02,  8.801E-02,  1.805E-02,  0.000E+00, 
 1.020E+06,  4.851E+00, -6.038E-01, -5.942E-01, -7.287E-02, -1.188E-01, -2.981E-02,  2.981E-03,  1.208E-02, -1.188E-02, -1.457E-03, -3.427E-01,  8.995E-01,  4.632E+01, -3.903E+02,  7.853E-01, -1.264E+01,  7.167E-03, -6.038E-02,  7.167E-03,  1.084E-19, 
 1.224E+06,  4.364E+00, -1.620E+00, -3.806E-01,  6.016E-02, -8.113E-02, -1.634E-02,  1.271E-02,  3.241E-02, -7.612E-03,  1.203E-03, -4.767E-02,  2.162E-01,  2.450E+00, -1.337E+02,  3.130E-01, -1.018E+01,  2.969E-03, -1.620E-01,  2.969E-03,  0.000E+00, 
 1.429E+06,  3.721E+00, -2.166E+00, -2.410E-01,  9.074E-02, -5.899E-02, -9.957E-03,  2.559E-02,  4.333E-02, -4.821E-03,  1.815E-03, -1.766E-02,  1.008E-01,  5.240E-01, -8.556E+01,  1.373E-01, -8.521E+00,  1.327E-03, -2.166E-01,  1.327E-03, -5.421E-20, 
 1.633E+06,  3.125E+00, -2.414E+00, -1.559E-01,  8.785E-02, -4.485E-02, -6.531E-03,  3.751E-02,  4.828E-02, -3.118E-03,  1.757E-03, -8.590E-03,  5.790E-02,  1.713E-01, -6.458E+01,  6.559E-02, -7.333E+00,  6.404E-04, -2.414E-01,  6.404E-04,  0.000E+00, 
