      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout), 
        Hz,          V,          V,          V,          V,           ,           ,          A,          A,          A,          A,           ,           ,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W, 
 1.000E+01,  2.500E+00, -1.272E-04,  2.500E+00, -2.365E-04,  1.000E+00, -4.373E-05,  5.000E-02,  2.543E-06,  5.000E-02, -4.730E-06,  1.000E+00, -1.455E-04,  5.000E+01, -5.086E-03,  5.000E+01, -5.086E-03,  1.250E-01, -1.272E-05,  1.250E-01,  0.000E+00, 
 2.041E+05,  1.504E+00,  1.028E-01, -2.353E-01, -2.279E+00, -2.587E-01, -1.497E+00,  6.991E-02, -2.056E-03, -4.707E-03, -4.558E-02, -4.811E-02, -6.533E-01,  2.146E+01,  2.102E+00,  2.146E+01,  2.102E+00,  1.050E-01,  1.028E-02,  1.050E-01,  0.000E+00, 
 4.082E+05,  1.819E+00, -9.054E-01, -1.781E+00,  1.339E+00, -1.078E+00,  1.996E-01,  6.362E-02,  1.811E-02, -3.562E-02,  2.679E-02, -4.071E-01,  5.370E-01,  2.271E+01, -2.069E+01,  2.271E+01, -2.069E+01,  9.934E-02, -9.054E-02,  9.934E-02,  0.000E+00, 
 6.123E+05,  1.436E+00, -2.234E+00,  3.234E-01, -1.540E-01,  1.146E-01,  7.107E-02,  7.127E-02,  4.468E-02,  6.468E-03, -3.080E-03,  4.571E-02, -7.186E-02,  3.627E-01, -3.157E+01,  3.627E-01, -3.157E+01,  2.566E-03, -2.234E-01,  2.566E-03,  2.168E-19, 
 8.163E+05,  5.510E-01, -1.565E+00,  2.863E-02, -3.565E-02,  2.599E-02,  9.138E-03,  8.898E-02,  3.130E-02,  5.725E-04, -7.129E-04,  3.217E-03, -9.144E-03,  4.699E-03, -1.759E+01,  4.699E-03, -1.759E+01,  4.180E-05, -1.565E-01,  4.180E-05,  0.000E+00, 
 1.020E+06,  3.126E-01, -1.210E+00,  5.815E-03, -1.051E-02,  9.303E-03,  2.402E-03,  9.375E-02,  2.421E-02,  1.163E-04, -2.102E-04,  6.202E-04, -2.402E-03,  3.077E-04, -1.291E+01,  3.077E-04, -1.291E+01,  2.885E-06, -1.210E-01,  2.885E-06,  0.000E+00, 
 1.224E+06,  2.049E-01, -9.913E-01,  1.717E-03, -3.976E-03,  4.190E-03,  8.662E-04,  9.590E-02,  1.983E-02,  3.435E-05, -7.952E-05,  1.791E-04, -8.662E-04,  3.912E-05, -1.034E+01,  3.912E-05, -1.034E+01,  3.752E-07, -9.913E-02,  3.752E-07,  0.000E+00, 
 1.429E+06,  1.458E-01, -8.412E-01,  6.338E-04, -1.774E-03,  2.174E-03,  3.767E-04,  9.708E-02,  1.682E-02,  1.268E-05, -3.547E-05,  6.528E-05, -3.767E-04,  7.308E-06, -8.665E+00,  7.308E-06, -8.665E+00,  7.095E-08, -8.412E-02,  7.095E-08,  0.000E+00, 
 1.633E+06,  1.094E-01, -7.314E-01,  2.718E-04, -8.885E-04,  1.243E-03,  1.858E-04,  9.781E-02,  1.463E-02,  5.436E-06, -1.777E-05,  2.779E-05, -1.858E-04,  1.765E-06, -7.477E+00,  1.765E-06, -7.477E+00,  1.727E-08, -7.314E-02,  1.727E-08,  8.272E-25, 
