      Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout), 
        Hz,           ,           ,           ,           ,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A, 
 1.000E+01,  9.975E-01, -5.014E-02,  1.000E+00, -1.257E-03,  1.249E-01,  6.122E-03,  1.249E-01,  0.000E+00,  5.000E+01,  2.450E+00,  5.000E+01,  2.450E+00,  2.502E+00,  6.122E-02,  2.498E+00, -6.436E-02,  4.997E-02, -1.224E-03,  4.997E-02, -1.287E-03, 
 6.721E+03,  2.290E-02,  1.953E-01,  1.628E+00,  3.595E-01,  1.772E-02, -5.106E-02,  1.772E-02,  0.000E+00,  1.390E+02, -4.004E+02,  1.362E+02, -3.968E+02,  4.759E+00, -5.106E-01,  2.087E-01,  9.179E-01,  4.820E-03,  1.021E-02,  4.174E-03,  1.836E-02, 
 1.343E+04, -8.775E-03,  1.640E-01, -2.662E+00,  1.302E+00,  1.276E-02,  2.290E-02,  1.276E-02,  0.000E+00,  4.392E+02,  7.880E+02,  3.914E+02,  7.562E+02,  4.858E+00,  2.290E-01, -8.020E-02,  7.948E-01,  2.843E-03, -4.580E-03, -1.604E-03,  1.590E-02, 
 2.014E+04, -1.927E-01,  4.111E-01, -1.024E+00,  4.674E-02,  6.408E-02,  1.219E-01,  6.408E-02,  0.000E+00,  5.252E+01,  9.990E+01,  5.708E+01,  1.039E+02,  3.749E+00,  1.219E+00, -1.224E+00,  1.306E+00,  2.502E-02, -2.438E-02, -2.447E-02,  2.613E-02, 
 2.686E+04, -5.648E-02, -2.556E-01, -1.271E+00, -1.590E-01,  2.906E-02, -8.167E-02,  2.906E-02,  0.000E+00,  8.203E+01, -2.305E+02,  7.258E+01, -2.177E+02,  4.532E+00, -8.167E-01, -4.647E-01, -1.112E+00,  9.355E-03,  1.633E-02, -9.294E-03, -2.225E-02, 
 3.357E+04,  1.095E-03, -1.621E-01, -6.024E-02, -6.169E+00,  1.247E-02, -2.060E-04,  1.247E-02,  1.355E-20,  1.903E+03, -3.144E+01,  1.785E+03,  4.596E+02,  4.872E+00, -2.060E-03,  4.999E-03, -7.896E-01,  2.559E-03,  4.120E-05,  9.999E-05, -1.579E-02, 
 4.028E+04,  4.781E-02, -2.371E-01,  1.188E+00, -1.118E-01,  2.526E-02,  8.380E-02,  2.526E-02,  0.000E+00,  7.118E+01,  2.361E+02,  7.419E+01,  2.408E+02,  4.570E+00,  8.380E-01,  4.172E-01, -1.044E+00,  8.601E-03, -1.676E-02,  8.344E-03, -2.087E-02, 
 4.699E+04,  1.740E-01,  3.959E-01,  1.044E+00,  5.749E-02,  6.052E-02, -1.194E-01,  6.052E-02, -3.469E-18,  5.463E+01, -1.078E+02,  5.760E+01, -1.105E+02,  3.841E+00, -1.194E+00,  1.141E+00,  1.313E+00,  2.318E-02,  2.388E-02,  2.282E-02,  2.626E-02, 
 5.370E+04,  9.837E-03,  1.739E-01,  2.832E+00,  1.814E+00,  1.427E-02, -1.974E-02,  1.427E-02,  0.000E+00,  5.656E+02, -7.822E+02,  3.824E+02, -6.949E+02,  4.845E+00, -1.974E-01,  8.198E-02,  8.407E-01,  3.106E-03,  3.947E-03,  1.640E-03,  1.681E-02, 
 6.041E+04, -2.266E-02,  1.829E-01, -1.730E+00,  3.663E-01,  1.574E-02,  4.566E-02,  1.574E-02,  0.000E+00,  1.564E+02,  4.536E+02,  1.089E+02,  3.843E+02,  4.792E+00,  4.566E-01, -1.921E-01,  8.660E-01,  4.154E-03, -9.132E-03, -3.842E-03,  1.732E-02, 
 6.712E+04, -9.212E-01,  3.636E-01, -9.336E-01, -1.360E-02,  1.200E-01,  4.939E-02,  1.200E-01,  0.000E+00,  4.359E+01,  1.794E+01,  5.666E+01,  2.067E+01,  2.424E+00,  4.939E-01, -2.412E+00,  4.261E-01,  5.153E-02, -9.879E-03, -4.824E-02,  8.522E-03, 
 7.383E+04, -2.310E-02, -1.895E-01, -1.815E+00, -4.514E-01,  1.681E-02, -4.399E-02,  1.681E-02, -4.337E-19,  1.749E+02, -4.577E+02,  1.194E+02, -3.858E+02,  4.784E+00, -4.399E-01, -1.939E-01, -8.961E-01,  4.324E-03,  8.798E-03, -3.877E-03, -1.792E-02, 
 8.055E+04,  1.040E-02, -1.743E-01,  2.717E+00, -1.548E+00,  1.433E-02,  2.198E-02,  1.433E-02,  0.000E+00,  4.890E+02,  7.502E+02,  3.535E+02,  6.739E+02,  4.842E+00,  2.198E-01,  8.867E-02, -8.417E-01,  3.158E-03, -4.396E-03,  1.773E-03, -1.683E-02, 
 8.726E+04,  9.315E-02, -2.953E-01,  1.046E+00, -2.550E-02,  3.747E-02,  1.094E-01,  3.747E-02,  3.469E-18,  5.474E+01,  1.598E+02,  5.294E+01,  1.572E+02,  4.283E+00,  1.094E+00,  7.221E-01, -1.163E+00,  1.434E-02, -2.188E-02,  1.444E-02, -2.326E-02, 
 9.397E+04,  5.610E-02,  2.641E-01,  1.132E+00,  1.170E-01,  3.033E-02, -9.394E-02,  3.033E-02,  1.735E-18,  6.472E+01, -2.005E+02,  8.330E+01, -2.256E+02,  4.462E+00, -9.394E-01,  4.985E-01,  1.126E+00,  1.075E-02,  1.879E-02,  9.969E-03,  2.252E-02, 
 1.007E+05,  3.710E-03,  1.657E-01, -1.471E+00,  5.612E+00,  1.301E-02,  3.723E-03,  1.301E-02,  0.000E+00,  1.683E+03,  4.817E+02,  1.086E+03, -8.928E+02,  4.866E+00,  3.723E-02,  1.188E-02,  8.063E-01,  2.678E-03, -7.445E-04,  2.377E-04,  1.613E-02, 
 1.074E+05, -4.109E-02,  2.114E-01, -1.463E+00,  1.931E-01,  2.081E-02,  6.210E-02,  2.081E-02, -8.674E-19,  1.089E+02,  3.249E+02,  6.300E+01,  2.509E+02,  4.696E+00,  6.210E-01, -3.242E-01,  9.671E-01,  6.073E-03, -1.242E-02, -6.485E-03,  1.934E-02, 
 1.141E+05, -9.722E-01, -3.739E-01, -9.128E-01, -5.233E-02,  1.214E-01, -3.888E-02,  1.214E-01,  3.469E-18,  4.179E+01, -1.338E+01,  6.198E+01, -1.490E+01,  2.333E+00, -3.888E-01, -2.414E+00, -4.945E-01,  5.334E-02,  7.777E-03, -4.828E-02, -9.889E-03, 
 1.208E+05, -1.252E-02, -1.622E-01, -2.470E+00, -9.534E-01,  1.252E-02, -2.624E-02,  1.252E-02,  0.000E+00,  3.506E+02, -7.344E+02,  2.064E+02, -5.884E+02,  4.857E+00, -2.624E-01, -1.034E-01, -7.846E-01,  2.862E-03,  5.247E-03, -2.067E-03, -1.569E-02, 
 1.275E+05,  1.636E-02, -1.899E-01,  2.000E+00, -6.822E-01,  1.681E-02,  3.819E-02,  1.681E-02,  0.000E+00,  2.233E+02,  5.074E+02,  2.212E+02,  5.055E+02,  4.794E+00,  3.819E-01,  1.509E-01, -9.042E-01,  4.114E-03, -7.638E-03,  3.019E-03, -1.808E-02, 
 1.342E+05,  1.193E-01, -3.101E-01,  1.053E+00,  1.047E-02,  4.180E-02,  1.120E-01,  4.180E-02,  0.000E+00,  5.541E+01,  1.484E+02,  4.281E+01,  1.303E+02,  4.205E+00,  1.120E+00,  8.488E-01, -1.170E+00,  1.590E-02, -2.239E-02,  1.698E-02, -2.341E-02, 
